cell,stimul,frame,time,mask,int,delta
cell7_01,10,86,15.2,down,1465.868,-0.12257393189794408
cell7_01,10,87,15.4,cell,1018.565,-0.06725884548024862
cell7_01,10,87,15.4,up,1591.564,0.10234182983186195
cell7_01,10,87,15.4,down,1471.761,-0.1190465530211793
cell7_01,10,88,15.6,cell,1017.463,-0.06826799143782702
cell7_01,10,88,15.6,up,1538.337,0.06547598681426378
cell7_01,10,88,15.6,down,1471.122,-0.11942903988733444
cell7_01,10,89,15.8,cell,1018.431,-0.06738155469832076
cell7_01,10,89,15.8,up,1568.014,0.08603073578063904
cell7_01,10,89,15.8,down,1473.355,-0.11809243085427563
cell7_01,10,90,16.0,cell,1013.483,-0.0719126383626562
cell7_01,10,90,16.0,up,1559.638,0.08022938869898122
cell7_01,10,90,16.0,down,1468.224,-0.12116369863243283
cell7_01,10,91,16.2,cell,1014.601,-0.07088884055814383
cell7_01,10,91,16.2,up,1526.128,0.05701984467959796
cell7_01,10,91,16.2,down,1468.959,-0.12072374895070492
cell7_01,10,92,16.4,cell,1013.701,-0.07171300694818056
cell7_01,10,92,16.4,up,1551.55,0.07462751486941478
cell7_01,10,92,16.4,down,1468.973,-0.12071536895676731
cell7_01,10,93,16.6,cell,1016.152,-0.06946852714598047
cell7_01,10,93,16.6,up,1574.521,0.09053758457007885
cell7_01,10,93,16.6,down,1472.073,-0.11885979887056822
cell7_01,10,94,16.8,cell,1015.65,-0.06992822884353436
cell7_01,10,94,16.8,up,1544.27,0.06958527433043808
cell7_01,10,94,16.8,down,1478.555,-0.11497986167742566
cell7_01,10,95,17.0,cell,1012.877,-0.07246757706528092
cell7_01,10,95,17.0,up,1552.723,0.075439952802412
cell7_01,10,95,17.0,down,1470.865,-0.11958287263319033
cell7_01,10,96,17.2,cell,1014.863,-0.07064891656459975
cell7_01,10,96,17.2,up,1527.961,0.05828940881530466
cell7_01,10,96,17.2,down,1479.265,-0.1145548762705865
cell7_01,10,97,17.4,cell,1017.28,-0.06843557193713448
cell7_01,10,97,17.4,up,1527.121,0.05770761183003817
cell7_01,10,97,17.4,down,1478.513,-0.11500500165923876
cell7_01,10,98,17.6,cell,1015.06,-0.07046851569922515
cell7_01,10,98,17.6,up,1541.56,0.0677082864374948
cell7_01,10,98,17.6,down,1474.073,-0.11766265687947208
cell7_01,10,99,17.8,cell,1015.135,-0.07039983516672203
cell7_01,10,99,17.8,up,1523.518,0.055212118332519836
cell7_01,10,99,17.8,down,1478.397,-0.11507443589472233
cell7_01,10,100,18.0,cell,1013.837,-0.0715884662492417
cell7_01,10,100,18.0,up,1540.39,0.06689792635087365
cell7_01,10,100,18.0,down,1474.576,-0.11736157566871144
