cell,feature,time,int
cell14_01,50,29,0.912243377105749
cell14_01,50,30,0.885246538791057
cell14_01,50,31,0.860318061148447
cell14_01,50,32,0.826899841662259
cell14_01,50,33,0.784805998245949
cell14_01,50,34,0.767458130060006
cell14_01,50,35,0.763622199728612
cell14_01,50,36,0.725948970297732
cell14_01,50,37,0.698536432044044
cell14_01,50,38,0.675770945953939
cell14_01,50,39,0.663080268954481
cell14_01,50,40,0.656131658592062
cell14_01,50,41,0.624737864012045
cell14_01,50,42,0.608792560660929
cell14_01,50,43,0.599190905972392
cell14_01,50,44,0.578446465114157
cell14_01,50,45,0.570406219952583
cell14_01,50,46,0.561771152114071
cell14_01,50,47,0.539908039062276
cell14_01,50,48,0.527410003497963
cell14_01,50,49,0.52563905416435
cell14_01,50,50,0.507294182059675
cell14_01,50,51,0.492403337090405
cell14_01,50,52,0.484728096753316
cell14_01,50,53,0.473058081392696
cell14_01,50,54,0.459921287385535
cell14_01,50,55,0.45865728919704
cell14_01,50,56,0.438909852257538
cell14_01,50,57,0.444303812441595
cell14_01,50,58,0.435347675544508
cell14_01,50,59,0.433191443340605
cell14_01,50,60,0.43141035498409
cell14_01,50,61,0.425519582677817
cell14_01,50,62,0.416384323042789
cell14_01,50,63,0.421561984071595
cell14_01,50,64,0.407428186145701
cell14_01,50,65,0.395937293523023
cell14_01,50,66,0.413781973831182
