cell,stimul,frame,time,mask,int,delta,rel
cell8_01_27,10,87,15.4,cell,1038.917,-0.24037656057874035,1038.917
cell8_01_27,10,87,15.4,up,732.383,-0.027179048637660384,0.7049485185053282
cell8_01_27,10,87,15.4,down,610.144,-0.2626708508075354,0.5872884936910264
cell8_01_27,10,88,15.6,cell,995.625,-0.2720303095687223,995.625
cell8_01_27,10,88,15.6,up,754.398,0.0020633740349602168,0.7577129943502825
cell8_01_27,10,88,15.6,down,567.806,-0.3138342507893602,0.5703010671688639
cell8_01_27,10,89,15.8,cell,1012.556,-0.25965089480041903,1012.556
cell8_01_27,10,89,15.8,up,827.914,0.09971433679673065,0.8176476165268883
cell8_01_27,10,89,15.8,down,578.577,-0.3008180246756035,0.571402470579405
cell8_01_27,10,90,16.0,cell,1025.042,-0.25052152424953406,1025.042
cell8_01_27,10,90,16.0,up,715.945,-0.04901356800593371,0.6984543072381425
cell8_01_27,10,90,16.0,down,553.488,-0.33113685272945587,0.5399661672399766
cell8_01_27,10,91,16.2,cell,1109.986,-0.18841314269624382,1109.986
cell8_01_27,10,91,16.2,up,782.062,0.03880933727890191,0.7045692468193292
cell8_01_27,10,91,16.2,down,604.507,-0.2694828893000846,0.5446077698277274
cell8_01_27,10,92,16.4,cell,1067.125,-0.2197517580399476,1067.125
cell8_01_27,10,92,16.4,up,773.141,0.026959614241770413,0.724508375307485
cell8_01_27,10,92,16.4,down,604.562,-0.269416424493079,0.5665334426613564
cell8_01_27,10,93,16.6,cell,998.972,-0.2695830884223334,998.972
cell8_01_27,10,93,16.6,up,761.156,0.011039994176752992,0.7619392735732332
cell8_01_27,10,93,16.6,down,577.129,-0.3025678617764037,0.5777228991403163
cell8_01_27,10,94,16.8,cell,1068.667,-0.21862429613145296,1068.667
cell8_01_27,10,94,16.8,up,733.898,-0.025166681145086234,0.6867415200431941
cell8_01_27,10,94,16.8,down,611.085,-0.26153369838222246,0.5718198465939344
cell8_01_27,10,95,17.0,cell,1026.611,-0.24937432079011226,1026.611
cell8_01_27,10,95,17.0,up,783.945,0.04131051746934233,0.7636241965067586
cell8_01_27,10,95,17.0,down,589.08,-0.28812566343961904,0.573810333222613
cell8_01_27,10,96,17.2,cell,1005.889,-0.26452559554226995,1005.889
cell8_01_27,10,96,17.2,up,724.562,-0.037567646762691795,0.7203200353120474
cell8_01_27,10,96,17.2,down,540.443,-0.3469010965001325,0.5372789641799443
cell8_01_27,10,97,17.4,cell,1062.292,-0.2232854956558717,1062.292
cell8_01_27,10,97,17.4,up,800.461,0.06324864387683726,0.7535225719482026
cell8_01_27,10,97,17.4,down,591.836,-0.2847951723831235,0.5571311842694853
cell8_01_27,10,98,17.6,cell,990.5,-0.2757775484020786,990.5
cell8_01_27,10,98,17.6,up,739.516,-0.017704317730378952,0.7466087834427056
cell8_01_27,10,98,17.6,down,559.174,-0.32426560013612,0.5645371024734982
cell8_01_27,10,99,17.8,cell,1000.583,-0.26840517588369206,1000.583
cell8_01_27,10,99,17.8,up,752.242,-0.0008004307927559714,0.7518036984438072
cell8_01_27,10,99,17.8,down,547.398,-0.33849631954152337,0.5470790529121523
cell8_01_27,10,100,18.0,cell,1031.069,-0.24611477138150709,1031.069
cell8_01_27,10,100,18.0,up,760.539,0.010220435930602375,0.7376218274431682
cell8_01_27,10,100,18.0,down,566.209,-0.31576414709459383,0.5491475352280012
cell7_01_27,10,1,-1.8,cell,1090.012,-0.0018319387369651005,1090.012
cell7_01_27,10,1,-1.8,up,1448.918,0.0035430051171813103,1.3292679346649394
cell7_01_27,10,1,-1.8,down,1660.55,-0.006042933342655005,1.5234235953365651
cell7_01_27,10,2,-1.6,cell,1102.066,0.009206396446927105,1102.066
cell7_01_27,10,2,-1.6,up,1477.621,0.023423146626831034,1.3407736015810305
cell7_01_27,10,2,-1.6,down,1680.92,0.006149957836659219,1.5252444046000875
cell7_01_27,10,3,-1.4,cell,1091.963,-4.532915145209421e-05,1091.963
cell7_01_27,10,3,-1.4,up,1457.213,0.009288250346688497,1.3344893554085624
cell7_01_27,10,3,-1.4,down,1662.981,-0.0045878072524776275,1.5229279746658084
cell7_01_27,10,4,-1.2,cell,1090.344,-0.0015279129130847812,1090.344
cell7_01_27,10,4,-1.2,up,1445.784,0.001372348269770323,1.3259888622306355
cell7_01_27,10,4,-1.2,down,1661.648,-0.005385702389543253,1.5239667481088535
cell7_01_27,10,5,-1.0,cell,1092.133,0.00011034672222157962,1092.133
cell7_01_27,10,5,-1.0,up,1405.66,-0.02641815439312834,1.2870776727742868
cell7_01_27,10,5,-1.0,down,1686.63,0.009567798221238712,1.544344873747062
cell7_01_27,10,6,-0.8,cell,1093.168,0.001058138070763702,1093.168
cell7_01_27,10,6,-0.8,up,1417.855,-0.01797170887488372,1.2970147314959826
cell7_01_27,10,6,-0.8,down,1680.366,0.0058183495051255365,1.5371525694129358
cell7_01_27,10,7,-0.6,cell,1094.1,0.0019116081546684343,1094.1
cell7_01_27,10,7,-0.6,up,1421.468,-0.015469289222778885,1.2992121378301802
cell7_01_27,10,7,-0.6,down,1687.368,0.010009543615953083,1.5422429394022485
cell7_01_27,10,8,-0.4,cell,1090.812,-0.001099346390265814,1090.812
cell7_01_27,10,8,-0.4,up,1441.904,-0.0013149997097942716,1.3218629791384768
cell7_01_27,10,8,-0.4,down,1673.946,0.001975523713706894,1.5345870782499642
cell7_01_27,10,9,-0.2,cell,1090.105,-0.0017467748766612353,1090.105
cell7_01_27,10,9,-0.2,up,1444.628,0.0005716847995700504,1.3252191302672678
cell7_01_27,10,9,-0.2,down,1669.82,-0.0004941802139244223,1.5317973956637203
cell7_01_27,10,10,0.0,cell,1085.422,-0.00603518732615242,1085.422
cell7_01_27,10,10,0.0,up,1476.975,0.022975717040542586,1.3607380355290384
cell7_01_27,10,10,0.0,down,1642.227,-0.017010549694082184,1.512984811437395
cell7_01_27,10,11,0.2,cell,1038.611,-0.04890191275283016,1038.611
cell7_01_27,10,11,0.2,up,1505.206,0.042528944053709064,1.4492490451189133
cell7_01_27,10,11,0.2,down,1521.789,-0.0891012432559005,1.4652155619380114
cell7_01_27,10,12,0.4,cell,1022.571,-0.06359038930415176,1022.571
cell7_01_27,10,12,0.4,up,1643.177,0.13808979149919778,1.6069074910201833
cell7_01_27,10,12,0.4,down,1433.716,-0.1418191865468056,1.4020698807222187
cell7_01_27,10,13,0.6,cell,1011.335,-0.07387964881354381,1011.335
cell7_01_27,10,13,0.6,up,1731.865,0.19951647129600664,1.7124543301675508
cell7_01_27,10,13,0.6,down,1377.756,-0.1753152194576754,1.3623141688955687
cell7_01_27,10,14,0.8,cell,1018.941,-0.06691452707729995,1018.941
cell7_01_27,10,14,0.8,up,1770.433,0.22622926430524487,1.737522584722766
cell7_01_27,10,14,0.8,down,1373.06,-0.1781261088527692,1.34753631466395
cell7_01_27,10,15,1.0,cell,1011.084,-0.0741094996623208,1011.084
cell7_01_27,10,15,1.0,up,1739.918,0.20509410358452024,1.7208441632940488
