cell,stimul,frame,time,mask,int,delta,rel
cell8_02_22,20,81,61.0,down,439.754,-0.11236749972498271,0.9541512524816387
cell8_02_22,20,82,62.0,cell,458.626,-0.07480594922937495,458.626
cell8_02_22,20,82,62.0,up,490.992,0.013123150530061956,1.0705716640574239
cell8_02_22,20,82,62.0,down,437.004,-0.11791830625717184,0.9528548316057093
cell8_02_22,20,83,63.0,cell,460.699,-0.07062405097840893,460.699
cell8_02_22,20,83,63.0,up,490.623,0.012361748220970114,1.064953472874914
cell8_02_22,20,83,63.0,down,438.894,-0.11410338831323097,0.9526697474923974
cell8_02_22,20,84,64.0,cell,456.89,-0.07830801163346411,456.89
cell8_02_22,20,84,64.0,up,475.619,-0.018597818840311964,1.0409923613998995
cell8_02_22,20,84,64.0,down,437.5,-0.11691714260627523,0.9575609008732956
cell8_02_22,20,85,65.0,cell,459.139,-0.07377106558116188,459.139
cell8_02_22,20,85,65.0,up,487.689,0.00630767132428917,1.0621816051348285
cell8_02_22,20,85,65.0,down,435.825,-0.12029808840315408,0.949222348787622
cell8_02_22,20,86,66.0,cell,459.855,-0.07232666657118039,459.855
cell8_02_22,20,86,66.0,up,492.658,0.016560809735880137,1.0713333550793185
cell8_02_22,20,86,66.0,down,438.759,-0.11437588245208388,0.9541246697328506
cell8_02_22,20,87,67.0,cell,459.29,-0.0734664507061518,459.29
cell8_02_22,20,87,67.0,up,483.117,-0.0031262889932382964,1.051877898495504
cell8_02_22,20,87,67.0,down,438.708,-0.11447882468231718,0.9551873543948268
cell8_02_22,20,88,68.0,cell,460.188,-0.07165489999251587,460.188
cell8_02_22,20,88,68.0,up,490.031,0.011140203052996338,1.064849583213817
cell8_02_22,20,88,68.0,down,437.245,-0.11743185375744183,0.950144288855859
cell8_02_22,20,89,69.0,cell,455.491,-0.08113023819067652,455.491
cell8_02_22,20,89,69.0,up,482.626,-0.00413942865113558,1.0595730760871236
cell8_02_22,20,89,69.0,down,434.171,-0.123636646222878,0.9531933671576387
cell8_02_22,20,90,70.0,cell,460.085,-0.07186268364897971,460.085
cell8_02_22,20,90,70.0,up,489.35,0.009735013425648122,1.0636078116000305
cell8_02_22,20,90,70.0,down,437.61,-0.11669511034498763,0.9511503309171132
cell8_02_22,20,91,71.0,cell,458.225,-0.0756148933676466,458.225
cell8_02_22,20,91,71.0,up,479.79,-0.009991290300415429,1.0470620328441267
cell8_02_22,20,91,71.0,down,436.848,-0.11823318837317967,0.9533482459490424
cell8_02_22,20,92,72.0,cell,460.478,-0.07106987804713227,460.478
cell8_02_22,20,92,72.0,up,488.49,0.007960471458659113,1.060832439334778
cell8_02_22,20,92,72.0,down,438.554,-0.11478966984811988,0.9523886048844895
cell8_02_22,20,93,73.0,cell,458.965,-0.07412207874839209,458.965
