ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,20,64,44.0,cell,601.797,-0.030292317243915096,601.797
cell4_01_17_03,17_03,cell4_17_03,1,10,20,64,44.0,up,472.183,0.019101832916965704,0.05092015811951164
cell4_01_17_03,17_03,cell4_17_03,1,10,20,64,44.0,down,594.695,-0.0377052175197699,-0.00764956486117093
cell4_01_17_03,17_03,cell4_17_03,1,10,20,65,45.0,cell,599.158,-0.03454467904497645,599.158
cell4_01_17_03,17_03,cell4_17_03,1,10,20,65,45.0,up,471.86,0.01840470936098813,0.05482689556543746
cell4_01_17_03,17_03,cell4_17_03,1,10,20,65,45.0,down,588.881,-0.04711303474597851,-0.013023128732317844
cell4_01_17_03,17_03,cell4_17_03,1,10,20,66,46.0,cell,595.586,-0.04030043363133154,595.586
cell4_01_17_03,17_03,cell4_17_03,1,10,20,66,46.0,up,456.222,-0.015346430479191514,0.025985297401554856
cell4_01_17_03,17_03,cell4_17_03,1,10,20,66,46.0,down,580.832,-0.0601373761380927,-0.020674979492624073
cell4_01_17_03,17_03,cell4_17_03,1,10,20,67,47.0,cell,596.431,-0.03893883995118871,596.431
cell4_01_17_03,17_03,cell4_17_03,1,10,20,67,47.0,up,462.004,-0.002867271344013128,0.03751628281365244
cell4_01_17_03,17_03,cell4_17_03,1,10,20,67,47.0,down,584.485,-0.05422634133806866,-0.015911951001346143
cell4_01_17_03,17_03,cell4_17_03,1,10,20,68,48.0,cell,601.853,-0.030202081449728236,601.853
cell4_01_17_03,17_03,cell4_17_03,1,10,20,68,48.0,up,471.427,0.01747017530607078,0.049139929677418905
cell4_01_17_03,17_03,cell4_17_03,1,10,20,68,48.0,down,587.873,-0.04874411141677615,-0.01912451497939538
cell4_01_17_03,17_03,cell4_17_03,1,10,20,69,49.0,cell,598.204,-0.036081910253090425,598.204
cell4_01_17_03,17_03,cell4_17_03,1,10,20,69,49.0,up,457.867,-0.01179606438141068,0.025178346798273923
cell4_01_17_03,17_03,cell4_17_03,1,10,20,69,49.0,down,586.589,-0.05082179241410185,-0.015296690146055144
cell4_01_17_03,17_03,cell4_17_03,1,10,20,70,50.0,cell,608.597,-0.019335113664067847,608.597
cell4_01_17_03,17_03,cell4_17_03,1,10,20,70,50.0,up,473.728,0.022436371288437628,0.0425782038090506
cell4_01_17_03,17_03,cell4_17_03,1,10,20,70,50.0,down,596.991,-0.03398998732517511,-0.014948872426700377
cell4_01_17_03,17_03,cell4_17_03,1,10,20,71,51.0,cell,597.618,-0.03702616338511828,597.618
cell4_01_17_03,17_03,cell4_17_03,1,10,20,71,51.0,up,467.91,0.009879514171788173,0.04869223160440903
cell4_01_17_03,17_03,cell4_17_03,1,10,20,71,51.0,down,589.166,-0.04665186723488973,-0.010000894189287771
cell4_01_17_03,17_03,cell4_17_03,1,10,20,72,52.0,cell,597.633,-0.03700199308310393,597.633
cell4_01_17_03,17_03,cell4_17_03,1,10,20,72,52.0,up,461.29,-0.004408281309858388,0.03382936427279325
cell4_01_17_03,17_03,cell4_17_03,1,10,20,72,52.0,down,587.666,-0.049079064661672105,-0.012546188699251259
cell4_01_17_03,17_03,cell4_17_03,1,10,20,73,53.0,cell,600.723,-0.03202291086814403,600.723
