"","power","mean_yfp","mean_fluo"
"315","100",0.132395129135363,0.496984204464271
"316","20",0.0800685053566531,0.213178181977262
"317","50",0.092953752522081,0.349243792801331
"318","75",0.0795929045082727,NA
"319","100",0.145528913795015,0.514041299287301
"320","20",0.078310082261446,0.214162133584087
"321","50",0.0786530161513435,0.353323679144489
"322","75",0.0735732721409662,NA
"323","100",0.139722546862745,0.506619055512328
"324","20",0.0650972674693819,0.206502990606343
"325","50",0.0774650833027699,0.352959981707014
"326","75",0.0557733689255309,NA
"327","100",0.139000978190816,0.535597034393797
"328","20",0.0758634743727244,0.211752620625722
"329","50",0.0746976932502463,0.348322628590374
"330","75",0.0751864958370607,NA
"331","100",0.128198116358766,0.513389974789873
"332","20",0.10956498067191,0.199445850921791
"333","50",0.0856648362407076,0.338033357688431
"334","75",0.0745451290541635,NA
"335","100",0.154396966888171,0.496493234727438
"336","20",0.0739761246569687,0.196773915697985
"337","50",0.0763936296696068,0.34074270684134
"338","75",0.0560271975369596,NA
"339","100",0.130104325722867,0.497662202448293
"340","20",0.0567871939959988,0.194651432420769
"341","50",0.0819444181978576,0.337342355051796
"342","75",0.0777993833354654,NA
"343","100",0.116287658632075,0.474408596289964
"344","20",0.0713617450609677,0.191467412303744
"345","50",0.0810624487568991,0.326002875385408
"346","75",0.0608386207340106,NA
"347","100",0.135607539246141,0.476721342759595
"348","20",0.0721573540732906,0.195936245131025
"349","50",0.069573555038205,0.334615330364235
"350","75",0.0721811215474471,NA
"351","100",0.135348731270755,0.475597591174041
"352","20",0.0562323994968607,0.188480670876033
"353","50",0.0728207845394478,0.331563224607175
"354","75",0.0657967509206825,NA
"355","100",0.132470136032264,0.462881726462618
"356","20",0.0374336578574064,0.174804385473005
"357","50",0.0818312004477772,0.336309538933007
"358","75",0.0693381420492052,NA
"359","100",0.14714947240057,0.463022071314065
"360","20",0.0597441840083987,0.185347020620348
"361","50",0.0778485270572108,0.33083036745043
"362","75",0.0814123106041885,NA
"363","100",0.131699184278112,0.455382484796918
"364","20",0.03097920607601,0.179667863342176
"365","50",0.0762204175753261,0.321893637496243
"366","75",0.0681260795860249,NA
"367","100",0.145011342380657,0.431020233392361
"368","20",0.0420930184836436,0.182064752746316
"369","50",0.0884495277967448,0.318295546385808
"370","75",0.0727951713079865,NA
"371","100",0.137512945160623,0.461955852092176
"372","20",0.0464380909252953,0.175914513387661
"373","50",0.0842352857048293,0.325775430994521
"374","75",0.0600088837891788,NA
"375","100",0.132131019852048,0.418645473365943
"376","20",0.00358243362238207,0.174858529182169
"377","50",0.0681780926268554,0.320225071692309
"378","75",0.0723347082829415,NA
"379","100",0.139986350213914,0.447157630782423
"380","20",0.0588692075776287,0.167970435156748
"381","50",0.0791043084588341,0.323982560194656
"382","75",0.0727780812828829,NA
"383","100",0.14641475396787,0.458383088046945
"384","20",0.0362986506965445,0.172893831684499
"385","50",0.0864811239704206,0.320264412762071
"386","75",0.0681098960508589,NA
"387","100",0.13613160583325,0.450472482128923
"388","20",0.0144553474622258,0.178743255488042
